No.	Subject	Subject_2	Gender	Type	No. Entered	No. Sat	Chinese Version %	Performance - 5**	Performance - 5*+	Performance - 5+	Performance - 4+	Performance - 3+	Performance - 2+	Performance - 1+	Performance - U
1	Biology		Male	Number	5685	5358		147	530	1222	2587	3911	4832	5191	167
2	Biology		Male	Percentage			40.7	2.70%	9.90%	22.80%	48.30%	73.00%	90.20%	96.90%	3.10%
3	Biology		Female	Number	7322	6984		104	486	1313	3077	4955	6294	6761	223
4	Biology		Female	Percentage			35.1	1.50%	7.00%	18.80%	44.10%	70.90%	90.10%	96.80%	3.20%
5	Biology		Total	Number	13007	12342		251	1016	2535	5664	8866	11126	11952	390
6	Biology		Total	Percentage			37.5	2.00%	8.20%	20.50%	45.90%	71.80%	90.10%	96.80%	3.20%
7	Business-Accounting and Financial Studies	Accounting	Male	Number	3182	2968		47	204	477	1294	2006	2665	2884	84
8	Business-Accounting and Financial Studies	Accounting	Male	Percentage			38.8	1.60%	6.90%	16.10%	43.60%	67.60%	89.80%	97.20%	2.80%
9	Business-Accounting and Financial Studies	Accounting	Female	Number	3659	3511		53	207	487	1632	2568	3244	3463	48
10	Business-Accounting and Financial Studies	Accounting	Female	Percentage			29.7	1.50%	5.90%	13.90%	46.50%	73.10%	92.40%	98.60%	1.40%
11	Business-Accounting and Financial Studies	Accounting	Total	Number	6841	6479		100	411	964	2926	4574	5909	6347	132
12	Business-Accounting and Financial Studies	Accounting	Total	Percentage			33.9	1.50%	6.30%	14.90%	45.20%	70.60%	91.20%	98.00%	2.00%
13	Business-Accounting and Financial Studies	Business Management	Male	Number	1315	1216		6	21	76	319	642	1038	1174	42
14	Business-Accounting and Financial Studies	Business Management	Male	Percentage			74.8	0.50%	1.70%	6.30%	26.20%	52.80%	85.40%	96.50%	3.50%
15	Business-Accounting and Financial Studies	Business Management	Female	Number	1403	1346		12	47	104	443	856	1217	1318	28
16	Business-Accounting and Financial Studies	Business Management	Female	Percentage			72.8	0.90%	3.50%	7.70%	32.90%	63.60%	90.40%	97.90%	2.10%
17	Business-Accounting and Financial Studies	Business Management	Total	Number	2718	2562		18	68	180	762	1498	2255	2492	70
18	Business-Accounting and Financial Studies	Business Management	Total	Percentage			73.8	0.70%	2.70%	7.00%	29.70%	58.50%	88.00%	97.30%	2.70%
19	Chemistry		Male	Number	6813	6424		196	741	1767	3390	4874	5620	6116	308
20	Chemistry		Male	Percentage			26.1	3.10%	11.50%	27.50%	52.80%	75.90%	87.50%	95.20%	4.80%
21	Chemistry		Female	Number	5487	5224		117	483	1222	2555	3952	4602	5009	215
22	Chemistry		Female	Percentage			21.1	2.20%	9.20%	23.40%	48.90%	75.70%	88.10%	95.90%	4.10%
